year;_STATE;_COUNTY
1968;Colorado;Baca
1986;Colorado;Baca
1986;Colorado;Baca
1986;Colorado;Baca
1986;Colorado;Baca
1986;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1979;Colorado;Baca
1978;Colorado;Baca
1978;Colorado;Baca
1973;Kansas;Elk
1995;Kansas;Elk
1969;Missouri;Bollinger
1969;Missouri;Bollinger
1990;Kansas;Sumner
1982;Kansas;Sumner
1977;Kansas;Sumner
1977;Kansas;Sumner
1977;Kansas;Sumner
2008;Kansas;Sumner
1973;Kansas;Sumner
1973;Kansas;Sumner
1973;Kansas;Sumner
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1971;Kansas;Cowley
1969;Kansas;Cowley
1969;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1971;Kansas;Cowley
1971;Kansas;Cowley
1971;Kansas;Cowley
1973;Kansas;Cowley
1971;Kansas;Cowley
1974;Kansas;Cowley
1969;Kansas;Cowley
1971;Kansas;Cowley
1971;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1971;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1969;Kansas;Cowley
1971;Kansas;Cowley
1973;Kansas;Cowley
1973;Kansas;Cowley
1974;Kansas;Cowley
1971;Kansas;Cowley
1971;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1970;Kansas;Cowley
1974;Kansas;Cowley
1974;Kansas;Cowley
1972;Kansas;Meade
2007;Kansas;Meade
2007;Kansas;Meade
2007;Kansas;Meade
2007;Kansas;Meade
2007;Kansas;Meade
2007;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
1993;Kansas;Meade
